Sales,Discount,Quantity,Segment,Region,Category,Profit,Profit Margin
0.05151040148961151,-0.7566434880210966,-0.8043033970404823,0,2,0,41.9136,813.6919687658236
0.8056334816212417,-0.7566434880210966,-0.35486486474959156,0,2,0,219.582,272.5581855884605
-0.3453677691554316,-0.7566434880210966,-0.8043033970404823,1,3,1,6.8714,-19.895892476600935
1.1676881360601552,1.423149322564634,0.5440121998321898,0,2,0,-383.031,-328.0250849275286
-0.33293544091835797,0.2121533166836726,-0.8043033970404823,0,2,1,2.5164,-7.558222077706255
-0.29042676259407363,-0.7566434880210966,1.4428892644139713,0,3,0,14.1694,-48.788203516231796
-0.3571454265199283,-0.7566434880210966,0.09457366754129916,0,3,1,1.9656,-5.503640405403097
1.0867761113417045,0.2121533166836726,0.9934507321230805,0,3,2,90.7152,83.47183845254517
-0.33913555918217475,0.2121533166836726,-0.35486486474959156,0,3,1,5.7825,-17.050703895352335
-0.18445993802304328,-0.7566434880210966,0.5440121998321898,0,3,1,34.47,-186.86984485321634
2.368891250206628,0.2121533166836726,2.3417663289957527,0,3,0,85.3092,36.01229055684125
1.0936309004780982,0.2121533166836726,0.09457366754129916,0,3,2,68.3568,62.50445188602182
-0.3438722954955255,0.2121533166836726,-0.35486486474959156,0,2,1,5.4432,-15.829132126379246
0.28580555376949596,0.2121533166836726,-0.35486486474959156,0,3,1,132.5922,463.9245047943906
-0.25841528242762823,3.11854373079798,0.5440121998321898,2,0,1,-123.858,479.29827847812237
-0.3647447433153311,3.11854373079798,-0.35486486474959156,2,0,1,-3.816,10.462111024040095
0.6996345653407712,-0.7566434880210966,0.9934507321230805,0,0,1,13.3176,19.03508011144846
-0.2797723150599785,-0.7566434880210966,-0.8043033970404823,0,3,1,9.99,-35.70760744449754
-0.3550915571157654,-0.7566434880210966,-0.8043033970404823,0,3,1,2.4824,-6.9908730586649765
-0.026279902193058854,0.2121533166836726,-0.35486486474959156,0,3,2,16.011,-609.248842799304
-0.33237062683221313,0.2121533166836726,0.09457366754129916,0,3,1,7.384,-22.21616293345796
-0.33760157547094055,-0.7566434880210966,1.4428892644139713,1,0,1,5.0596,-14.986896885602688
-0.2720061213754875,-0.7566434880210966,1.4428892644139713,1,0,1,15.6884,-57.67664316033219
-0.25430433444835837,0.6965517190360571,-0.8043033970404823,0,1,0,-1.0196,4.009369333840633
1.3073713128616338,-0.7566434880210966,-0.35486486474959156,0,3,0,240.2649,183.7770934977128
-0.3501365971782224,0.2121533166836726,-0.8043033970404823,0,3,1,4.2224,-12.059293527236642
-0.2234995025568587,-0.7566434880210966,-0.35486486474959156,0,3,2,11.7741,-52.68065416389304
4.578800173179875,1.665348523740826,1.4428892644139713,0,1,0,-1665.0522,-363.6437793797973
-0.353393905686387,2.634145328445595,-0.8043033970404823,0,1,1,-7.0532,19.958465289039914
-0.1695372931334221,0.2121533166836726,-0.35486486474959156,0,1,0,15.525,-91.5727726511604
-0.3635894417754894,0.2121533166836726,-0.8043033970404823,0,1,1,1.1016,-3.0297909494308697
-0.23034466418042038,0.2121533166836726,0.9934507321230805,0,1,1,9.7092,-42.150748464462566
-0.35782256158911324,2.634145328445595,0.9934507321230805,0,1,1,-5.715,15.97160328465403
-0.343538541717349,0.2121533166836726,-0.8043033970404823,0,1,1,3.546,-10.321985947409416
-0.3215364657252538,0.2121533166836726,-0.35486486474959156,2,0,1,9.9468,-30.935215940637143
1.392276348527162,0.2121533166836726,1.4428892644139713,1,0,2,123.4737,88.68476443675732
-0.06247935044143022,2.1497469260932105,0.5440121998321898,1,0,0,-147.963,2368.1904333929397
-0.18698234638503086,0.2121533166836726,2.3417663289957527,2,0,1,35.415,-189.4029071978487
0.4854532128695296,0.7934313995065341,-0.35486486474959156,2,0,0,-46.9764,-96.76813079950792
-0.028561622734246086,0.6965517190360571,-0.35486486474959156,2,0,0,-15.147,530.3270105111492
0.2267439717160362,0.2121533166836726,0.09457366754129916,2,0,2,41.7564,184.15660484369485
-0.13268317401247381,0.2121533166836726,0.09457366754129916,1,0,2,16.5564,-124.78145871339721
-0.2438616921965676,-0.7566434880210966,-0.8043033970404823,1,3,1,3.894,-15.968067657224307
-0.21540276426513522,0.2121533166836726,-0.8043033970404823,1,2,1,9.5616,-44.3894024880331
