Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,MRP_Range,Visibility_Range,Outlet_Age,Discount_Potential,Outlet_Item_Popularity,Location_Price_Sensitivity,Shelf_Effectiveness,Item_Outlet_Type,Outlet_Seasonal_ItemType,Income_Bracket,Location_Demographics_Relevance,Essentials_Discount_Level,Outlet_Type_Location_Age_Index
2860.403689475601,-0.8284078810779499,-1.0,-1.1569225377336994,2178.983018061674,1.747453810500045,2341.6876856989247,1999,1.0,2.0,2303.457967324247,1.0078951786712604,200-250,0-0.05,-0.13954076129512305,2361.7315258556264,2355.8955713333335,2361.7315258556264,0.6850630799483117,2355.8955713333335,2270.148861038961,1.0,0.1899822762869047,0.11544909131356167,2340.187739181916
1900.3187872952717,-1.6253643578021335,1.0,-1.0859392266054728,1979.9145024774775,-1.4890232521574345,1994.8476470905173,2009,1.0,0.0,1996.5212445523193,-1.2260249100098484,0-50,0-0.05,-1.3341027425308933,1933.4514831461358,1939.8891974900637,1933.4514831461358,-0.701289085325043,1939.8891974900637,1956.7122222222222,1.0,1.3527708381053734,0.11544909131356167,1996.5212445523193
2011.058373877944,1.1050368257677017,-1.0,-1.141262869000195,2137.3365563679245,0.010040209322175003,2341.6876856989247,1999,1.0,2.0,2303.7517026183646,0.2185649094565543,100-150,0-0.05,-0.13954076129512305,2148.6310191676516,2260.8754536911697,2148.6310191676516,-0.04129889764249792,2260.8754536911697,2240.272260869565,1.0,0.19420682344673626,-2.4724639265159722,2341.950783315393
2327.3753852853015,1.5058729235283856,1.0,-0.2397825621085623,2254.7230462225834,0.6600495477422742,339.351661981982,1998,0.0,0.0,339.46569870609983,-0.8476114907031339,150-200,0.05-0.1,-0.020084563171546017,1971.0472635943395,319.75384873859423,1971.0472635943395,-3.3269742133089255,319.75384873859423,305.32905128205124,0.0,-2.204010127529504,0.11544909131356167,338.64222454873646
1859.1167706194924,-0.9156486788258638,-1.0,-0.2397825621085623,2236.146797579758,-1.399219605090881,2286.061090450644,1987,2.0,0.0,2303.949436621234,-0.5793153452662159,50-100,0.05-0.1,1.2939336161878014,1999.3765986440972,2402.541530485762,1936.6654911409626,0.5159923668750162,2402.541530485762,2419.6412215686273,-1.0,0.06553887757576893,-1.5369761612338289,2287.4481537056927
2010.8231379349859,-0.5702222769320979,1.0,-0.2397825621085623,1947.6528029366307,-1.4387337236796227,1994.8476470905173,2009,1.0,0.0,1996.3991453074434,-1.0633503177481305,50-100,0.05-0.1,-1.3341027425308933,1948.177940925386,1783.4374539087785,1948.177940925386,-0.42779674036481585,1783.4374539087785,1798.6338567164178,1.0,1.3525889271163296,0.11544909131356167,1996.3991453074434
1852.6763923073784,0.19726095730968235,1.0,-1.2295601264823595,2252.021855129274,-1.3382381721359564,2286.061090450644,1987,2.0,0.0,2304.0662143113345,-1.3928583067653717,50-100,0-0.05,1.2939336161878014,1920.4575498115032,2393.0645843312104,1920.4575498115032,-0.7387899584131826,2393.0645843312104,2466.8400088709673,-1.0,0.06716482576209105,-1.9441569597522208,2288.147565520945
2073.452151331241,0.07936798738006944,-1.0,1.2910347620560687,2248.9532889908255,-0.5336410457037208,3541.3756022459893,1985,1.0,0.0,3540.860197537473,1.1222524407722732,100-150,0.1-0.15,1.5328460124349554,2399.154053859368,3588.684139151035,2399.154053859368,0.8201229608897692,3588.684139151035,3585.5043455882355,1.0,1.3470207099664422,-1.241731374734681,3540.860197537473
1990.9530332490167,0.798515103950708,1.0,-1.1428658246221244,2113.416234035088,-0.7069083520213211,2180.0510138858986,2002,0.0,1.0,2303.934749856528,-0.5048421740259946,50-100,0-0.05,-0.49790935566585415,2015.8330204877066,2246.9423055944053,2010.0960424718166,-0.45730430760491836,2246.9423055944053,2166.563135,0.0,0.118373297704188,-0.8871998844720934,2181.240078987069
2127.2989339409455,1.5058729235283856,1.0,0.5655783863859828,2109.166016023392,0.7520082767866417,2320.6915569114467,2007,0.0,1.0,2303.2830395982783,1.3763523043848254,150-200,0.05-0.1,-1.0951903462837393,2488.638941423871,2246.9423055944053,2488.638941423871,1.1521934797263451,2246.9423055944053,2208.2144733333334,0.0,0.11530114207663646,0.11544909131356167,2318.107942378378
