Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,MRP_Range,Visibility_Range,Outlet_Age,Discount_Potential,Outlet_Item_Popularity,Location_Price_Sensitivity,Shelf_Effectiveness,Item_Outlet_Type,Outlet_Seasonal_ItemType,Income_Bracket,Location_Demographics_Relevance,Essentials_Discount_Level,Outlet_Type_Location_Age_Index,Predicted_Item_Outlet_Sales
2860.403689475601,-0.8284078810779499,-1.0,-1.1569225377336994,2178.983018061674,1.747453810500045,2341.6876856989247,1999,1.0,2.0,2303.457967324247,1.0078951786712604,200-250,0-0.05,-0.139540761295123,2361.7315258556264,2355.895571333333,2361.7315258556264,0.6850630799483117,2355.895571333333,2270.148861038961,1.0,0.1899822762869047,0.1154490913135616,2340.187739181916,1.0072587
1900.318787295272,-1.6253643578021335,1.0,-1.0859392266054728,1979.9145024774773,-1.4890232521574345,1994.8476470905173,2009,1.0,0.0,1996.5212445523196,-1.2260249100098484,0-50,0-0.05,-1.3341027425308931,1933.451483146136,1939.889197490064,1933.451483146136,-0.701289085325043,1939.889197490064,1956.7122222222224,1.0,1.3527708381053734,0.1154490913135616,1996.5212445523196,-1.2187011
2011.058373877944,1.1050368257677017,-1.0,-1.141262869000195,2137.3365563679245,0.010040209322175,2341.6876856989247,1999,1.0,2.0,2303.751702618365,0.2185649094565543,100-150,0-0.05,-0.139540761295123,2148.631019167652,2260.8754536911697,2148.631019167652,-0.0412988976424979,2260.8754536911697,2240.272260869565,1.0,0.1942068234467362,-2.472463926515972,2341.950783315393,0.2194068
2327.375385285301,1.5058729235283856,1.0,-0.2397825621085623,2254.7230462225834,0.6600495477422742,339.351661981982,1998,0.0,0.0,339.46569870609983,-0.8476114907031339,150-200,0.05-0.1,-0.020084563171546,1971.0472635943397,319.75384873859423,1971.0472635943397,-3.326974213308925,319.75384873859423,305.32905128205124,0.0,-2.204010127529504,0.1154490913135616,338.64222454873646,-0.83982337
1859.1167706194924,-0.9156486788258638,-1.0,-0.2397825621085623,2236.146797579758,-1.399219605090881,2286.061090450644,1987,2.0,0.0,2303.949436621234,-0.5793153452662159,50-100,0.05-0.1,1.2939336161878014,1999.3765986440967,2402.541530485762,1936.6654911409623,0.5159923668750162,2402.541530485762,2419.6412215686278,-1.0,0.0655388775757689,-1.5369761612338289,2287.4481537056927,-0.5917126
2010.8231379349857,-0.5702222769320979,1.0,-0.2397825621085623,1947.652802936631,-1.4387337236796227,1994.8476470905173,2009,1.0,0.0,1996.3991453074436,-1.0633503177481305,50-100,0.05-0.1,-1.3341027425308931,1948.177940925386,1783.4374539087785,1948.177940925386,-0.4277967403648158,1783.4374539087785,1798.6338567164178,1.0,1.3525889271163296,0.1154490913135616,1996.3991453074436,-1.0608925
1852.6763923073784,0.1972609573096823,1.0,-1.2295601264823597,2252.021855129274,-1.3382381721359564,2286.061090450644,1987,2.0,0.0,2304.0662143113345,-1.3928583067653717,50-100,0-0.05,1.2939336161878014,1920.4575498115032,2393.0645843312104,1920.4575498115032,-0.7387899584131826,2393.0645843312104,2466.8400088709677,-1.0,0.067164825762091,-1.9441569597522208,2288.147565520945,-1.3946632
2073.452151331241,0.0793679873800694,-1.0,1.2910347620560687,2248.953288990825,-0.5336410457037208,3541.3756022459893,1985,1.0,0.0,3540.860197537473,1.1222524407722732,100-150,0.1-0.15,1.5328460124349554,2399.154053859368,3588.684139151035,2399.154053859368,0.8201229608897692,3588.684139151035,3585.5043455882355,1.0,1.3470207099664422,-1.241731374734681,3540.860197537473,1.1171598
1990.9530332490167,0.798515103950708,1.0,-1.1428658246221244,2113.416234035088,-0.7069083520213211,2180.0510138858986,2002,0.0,1.0,2303.934749856528,-0.5048421740259946,50-100,0-0.05,-0.4979093556658541,2015.8330204877063,2246.9423055944053,2010.0960424718169,-0.4573043076049183,2246.9423055944053,2166.563135,0.0,0.118373297704188,-0.8871998844720934,2181.240078987069,-0.50866073
2127.298933940945,1.5058729235283856,1.0,0.5655783863859828,2109.166016023392,0.7520082767866417,2320.6915569114467,2007,0.0,1.0,2303.2830395982783,1.3763523043848254,150-200,0.05-0.1,-1.0951903462837391,2488.638941423871,2246.9423055944053,2488.638941423871,1.1521934797263451,2246.9423055944053,2208.214473333333,0.0,0.1153011420766364,0.1154490913135616,2318.107942378378,1.381166
